frame_no,component,score,norm_score,threshold,status
0,RoboArm,0.3045807480812073,0.3079936378731344,0.9889189600944519,normal
1,RoboArm,0.3039723336696625,0.30737840605324224,0.9889189600944519,normal
2,RoboArm,0.3024885058403015,0.3058779516285245,0.9889189600944519,normal
3,RoboArm,0.3039521276950836,0.3073579736665713,0.9889189600944519,normal
4,RoboArm,0.30992013216018677,0.3133928508465307,0.9889189600944519,normal
5,RoboArm,0.30507591366767883,0.30849435189162616,0.9889189600944519,normal
6,RoboArm,0.3041960597038269,0.3076046389835352,0.9889189600944519,normal
7,RoboArm,0.30267658829689026,0.30606814158763984,0.9889189600944519,normal
8,RoboArm,0.3025505840778351,0.3059407254654501,0.9889189600944519,normal
9,RoboArm,0.30418112874031067,0.3075895407155084,0.9889189600944519,normal
10,RoboArm,0.3076114058494568,0.3110582547836647,0.9889189600944519,normal
11,RoboArm,0.30575937032699585,0.3091854668230779,0.9889189600944519,normal
12,RoboArm,0.30521339178085327,0.30863337047527356,0.9889189600944519,normal
13,RoboArm,0.3068855404853821,0.31032425594921487,0.9889189600944519,normal
14,RoboArm,0.30349200963974,0.30689269989398665,0.9889189600944519,normal
15,RoboArm,0.3069266676902771,0.3103658439928813,0.9889189600944519,normal
16,RoboArm,0.3071383833885193,0.31057993200897316,0.9889189600944519,normal
17,RoboArm,0.3048998713493347,0.3083163369829755,0.9889189600944519,normal
18,RoboArm,0.3040318489074707,0.3074385881715045,0.9889189600944519,normal
19,RoboArm,0.30948182940483093,0.31294963681884735,0.9889189600944519,normal
20,RoboArm,0.3105894923210144,0.3140697113253344,0.9889189600944519,normal
21,RoboArm,0.304960161447525,0.30837730264408947,0.9889189600944519,normal
22,RoboArm,0.3783823847770691,0.38262223705462145,0.9889189600944519,normal
23,RoboArm,0.38129785656929016,0.3855703773066221,0.9889189600944519,normal
24,RoboArm,0.6410645842552185,0.6482478444886831,0.9889189600944519,normal
25,RoboArm,0.6392939686775208,0.6464573888000505,0.9889189600944519,normal
26,RoboArm,0.5372114181518555,0.5432309823451522,0.9889189600944519,normal
27,RoboArm,0.43006083369255066,0.4348797535962658,0.9889189600944519,normal
28,RoboArm,0.4521695375442505,0.45723619001203464,0.9889189600944519,normal
29,RoboArm,0.6714345216751099,0.6789580832902435,0.9889189600944519,normal
30,RoboArm,0.5402035713195801,0.5462566632032063,0.9889189600944519,normal
31,RoboArm,0.38741418719291687,0.3917552426701525,0.9889189600944519,normal
32,RoboArm,0.41785410046577454,0.42253624141847296,0.9889189600944519,normal
33,RoboArm,0.4326304793357849,0.43747819264630566,0.9889189600944519,normal
34,RoboArm,0.6130895018577576,0.6199592955515801,0.9889189600944519,normal
35,RoboArm,0.8137093782424927,0.8228271588247991,0.9889189600944519,normal
36,RoboArm,0.6974704265594482,0.7052857258322084,0.9889189600944519,normal
37,RoboArm,0.8231160044670105,0.832339188226702,0.9889189600944519,normal
38,RoboArm,0.7098259925842285,0.7177797385100523,0.9889189600944519,normal
39,RoboArm,0.9876717329025269,0.9987387973714187,0.9889189600944519,normal
40,RoboArm,0.5488735437393188,0.555023784443263,0.9889189600944519,normal
41,RoboArm,0.5489394068717957,0.5550903855856564,0.9889189600944519,normal
42,RoboArm,0.5381096005439758,0.5441392290553119,0.9889189600944519,normal
43,RoboArm,0.5509766340255737,0.5571504402877965,0.9889189600944519,normal
44,RoboArm,0.5976387858390808,0.6043354510889347,0.9889189600944519,normal
45,RoboArm,0.6251717209815979,0.6321768984203595,0.9889189600944519,normal
46,RoboArm,0.49728795886039734,0.502860172498767,0.9889189600944519,normal
47,RoboArm,0.6049486994743347,0.6117272738066989,0.9889189600944519,normal
48,RoboArm,0.7105681300163269,0.7185301917443876,0.9889189600944519,normal
49,RoboArm,0.7674702405929565,0.7760699021481551,0.9889189600944519,normal
50,RoboArm,0.6957610249519348,0.7035571700288591,0.9889189600944519,normal
51,RoboArm,0.6572906970977783,0.6646557742557594,0.9889189600944519,normal
52,RoboArm,0.6833575963973999,0.6910147585117917,0.9889189600944519,normal
53,RoboArm,0.7025269269943237,0.7103988853922117,0.9889189600944519,normal
54,RoboArm,0.5476713180541992,0.5538080875726066,0.9889189600944519,normal
55,RoboArm,0.3507978320121765,0.35472859371476884,0.9889189600944519,normal
56,RoboArm,0.35289278626441956,0.3568470223593596,0.9889189600944519,normal
57,RoboArm,0.3566024899482727,0.3605982940343398,0.9889189600944519,normal
58,RoboArm,0.3583501875400543,0.36236557493632054,0.9889189600944519,normal
59,RoboArm,0.3567086160182953,0.36070560926875744,0.9889189600944519,normal
60,RoboArm,0.35547226667404175,0.35945540637636325,0.9889189600944519,normal
61,RoboArm,0.3556830585002899,0.35966856016828574,0.9889189600944519,normal
62,RoboArm,0.34562885761260986,0.3495016998962167,0.9889189600944519,normal
63,RoboArm,0.38199928402900696,0.3862796644049803,0.9889189600944519,normal
64,RoboArm,0.4104398190975189,0.4150388815058392,0.9889189600944519,normal
65,RoboArm,0.5476976633071899,0.5538347280295639,0.9889189600944519,normal
66,RoboArm,0.6822651028633118,0.6899100233634397,0.9889189600944519,normal
67,RoboArm,0.7181158661842346,0.7261625018450928,0.9889189600944519,normal
68,RoboArm,0.7445952892303467,0.752938632260858,0.9889189600944519,normal
69,RoboArm,0.7319222092628479,0.7401235478314035,0.9889189600944519,normal
70,RoboArm,0.6762994527816772,0.6838775269482988,0.9889189600944519,normal
71,RoboArm,0.851395308971405,0.860935368141883,0.9889189600944519,normal
72,RoboArm,0.9369300007820129,0.9474284937286737,0.9889189600944519,normal
73,RoboArm,0.6938788294792175,0.7016538841695835,0.9889189600944519,normal
74,RoboArm,0.6067512035369873,0.6135499752973048,0.9889189600944519,normal
75,RoboArm,0.5072726607322693,0.5129567550042923,0.9889189600944519,normal
76,RoboArm,0.568789541721344,0.5751629452700743,0.9889189600944519,normal
77,RoboArm,0.47996070981025696,0.485338768066916,0.9889189600944519,normal
78,RoboArm,0.43329334259033203,0.4381484834196607,0.9889189600944519,normal
79,RoboArm,0.4264084994792938,0.431186494228574,0.9889189600944519,normal
80,RoboArm,0.4261098802089691,0.43088452886803913,0.9889189600944519,normal
81,RoboArm,0.5111693739891052,0.5168971317329009,0.9889189600944519,normal
82,RoboArm,0.9348741173744202,0.945349573725566,0.9889189600944519,normal
83,RoboArm,0.7464641332626343,0.7548284170740738,0.9889189600944519,normal
84,RoboArm,0.7452109456062317,0.7535611871927872,0.9889189600944519,normal
85,RoboArm,0.7792882323265076,0.7880203169045091,0.9889189600944519,normal
86,RoboArm,0.6712859869003296,0.6788078841528278,0.9889189600944519,normal
87,RoboArm,0.32318446040153503,0.32680580860808617,0.9889189600944519,normal
88,RoboArm,0.37607908248901367,0.3802931257917173,0.9889189600944519,normal
89,RoboArm,0.31467822194099426,0.31820425599984375,0.9889189600944519,normal
90,RoboArm,0.7041388154029846,0.7120288353413026,0.9889189600944519,normal
91,RoboArm,0.6377520561218262,0.6448981987977198,0.9889189600944519,normal
92,RoboArm,0.5442124605178833,0.5503104728277284,0.9889189600944519,normal
93,RoboArm,0.4291936159133911,0.43400281846391003,0.9889189600944519,normal
94,RoboArm,0.4241318106651306,0.428884294648999,0.9889189600944519,normal
95,RoboArm,0.7126317620277405,0.7206169471760121,0.9889189600944519,normal
96,RoboArm,0.5603514313697815,0.5666302841602533,0.9889189600944519,normal
97,RoboArm,0.40976759791374207,0.41435912794573687,0.9889189600944519,normal
98,RoboArm,0.3789651095867157,0.3832114914153538,0.9889189600944519,normal
99,RoboArm,0.38732194900512695,0.3916619709345382,0.9889189600944519,normal
